Word,Word-ID,Syn-ID,Synonym,CEFR,Strength,Syllabel,Word family
squeak,12476,7524,grate,-1,2,1,None
squeak,12476,15869,screech,-1,3,1,None
squeak,12476,23895,shrill,-1,2,1,None
graceful,4958,177,fine,1,3,3,None
graceful,4958,299,easy,1,3,3,None
graceful,4958,575,beautiful,1,1,3,None
graceful,4958,1431,natural,3,3,3,None
graceful,4958,1589,fair,3,3,3,None
graceful,4958,1860,handsome,3,1,3,None
graceful,4958,2142,elegant,4,1,3,None
graceful,4958,3811,delicate,4,1,3,None
graceful,4958,4197,elastic,-1,3,3,None
graceful,4958,4399,decorative,4,1,3,None
graceful,4958,4643,trim,-1,3,3,None
graceful,4958,4742,symmetrical,-1,1,3,None
graceful,4958,5440,skilled,4,3,3,None
graceful,4958,6006,nimble,-1,1,3,None
graceful,4958,6936,exquisite,6,1,3,None
graceful,4958,7832,dainty,-1,3,3,None
graceful,4958,8145,pleasing,-1,3,3,None
graceful,4958,8234,rhythmic,-1,1,3,None
graceful,4958,8322,refined,-1,1,3,None
graceful,4958,10353,springy,-1,3,3,None
graceful,4958,13387,artistic,4,3,3,None
graceful,4958,13678,harmonious,-1,3,3,None
graceful,4958,13691,supple,-1,1,3,None
graceful,4958,15716,aesthetic,5,3,3,None
graceful,4958,15844,pliant,-1,3,3,None
graceful,4958,15849,curvaceous,-1,3,3,None
graceful,4958,16602,flowing,-1,3,3,None
graceful,4958,16782,statuesque,-1,3,3,None
graceful,4958,19528,adroit,-1,3,3,None
graceful,4958,20747,becoming,-1,3,3,None
graceful,4958,21911,shapely,-1,1,3,None
graceful,4958,22232,limber,-1,1,3,None
graceful,4958,22756,lithe,-1,1,3,None
graceful,4958,22799,neat,3,1,3,None
graceful,4958,25905,smooth,3,1,3,None
graceful,4958,28310,comely,-1,3,3,None
graceful,4958,29467,seemly,-1,3,3,None
graceful,4958,32380,dexterous,-1,3,3,None
graceful,4958,32792,pretty,3,3,3,None
graceful,4958,32793,tasteful,6,1,3,None
graceful,4958,34314,slender,6,1,3,None
graceful,4958,34315,willowy,-1,3,3,None
graceful,4958,35770,poised,-1,3,3,None
graceful,4958,39450,controlled,-1,3,3,None
distressed,10202,1048,worried,2,2,3,None
distressed,10202,2924,wretched,6,1,3,None
distressed,10202,3432,troubled,5,3,3,None
distressed,10202,4265,shaky,-1,3,3,None
distressed,10202,5314,agitated,-1,3,3,None
distressed,10202,6642,tormented,-1,2,3,None
distressed,10202,8169,inconsolable,-1,1,3,None
distressed,10202,8867,jittery,-1,3,3,None
distressed,10202,10223,wired,-1,2,3,None
distressed,10202,12478,unglued,-1,1,3,None
distressed,10202,13376,saddened,-1,2,3,None
distressed,10202,13906,fidgety,-1,1,3,None
distressed,10202,14608,hyper,-1,1,3,None
distressed,10202,15821,distracted,-1,2,3,None
distressed,10202,18680,miffed,-1,3,3,None
distressed,10202,20486,perturbed,-1,3,3,None
distressed,10202,20724,jumpy,-1,1,3,None
distressed,10202,21456,uptight,-1,1,3,None
distressed,10202,28049,disconsolate,-1,1,3,None
distressed,10202,29847,bothered,4,2,3,None
subscriber,8338,3312,sponsor,4,2,3,None
subscriber,8338,6150,patron,5,2,3,None
subscriber,8338,6162,benefactor,-1,2,3,None
subscriber,8338,6288,donor,6,3,3,None
subscriber,8338,11863,backer,-1,2,3,None
revive,31544,217,cheer,4,2,2,None
revive,31544,1803,recover,4,1,2,None
revive,31544,2135,encourage,3,1,2,None
revive,31544,2226,please,1,2,2,None
revive,31544,2256,awaken,-1,2,2,None
revive,31544,2614,overcome,4,1,2,None
revive,31544,2635,comfort,3,2,2,None
revive,31544,2678,animate,-1,2,2,None
revive,31544,3404,renew,4,1,2,None
revive,31544,4042,repair,2,1,2,None
revive,31544,4214,console,-1,2,2,None
revive,31544,4285,restore,4,1,2,None
revive,31544,4531,relieve,6,2,2,None
revive,31544,5322,refresh,5,2,2,None
revive,31544,5807,rouse,-1,2,2,None
revive,31544,6732,strengthen,4,1,2,None
revive,31544,6735,solace,-1,2,2,None
revive,31544,7519,brighten,-1,2,2,None
revive,31544,7982,renovate,5,1,2,None
revive,31544,8559,rally,6,2,2,None
revive,31544,9243,rejuvenate,-1,1,2,None
revive,31544,10410,resurrect,-1,1,2,None
revive,31544,10725,invigorate,-1,1,2,None
revive,31544,12441,quicken,-1,1,2,None
revive,31544,12961,exhilarate,-1,2,2,None
revive,31544,13485,rekindle,-1,1,2,None
revive,31544,17861,gladden,-1,2,2,None
revive,31544,19395,enliven,-1,2,2,None
revive,31544,19929,resuscitate,-1,1,2,None
revive,31544,19936,energize,-1,1,2,None
revive,31544,21841,recondition,-1,2,2,None
revive,31544,24266,revitalize,-1,1,2,None
revive,31544,25479,arouse,6,1,2,None
revive,31544,34312,wake up,-1,3,2,None
revive,31544,35903,come to life,1,3,2,None
civilian,8961,534,private,3,3,3,None
violate,4537,1571,sin,6,2,2,None
violate,4537,1999,defy,6,1,2,None
